date,Treatment,Count
2024-09-11,11,0
2024-09-11,12,1
2024-09-11,13,0
2024-09-11,14,0
2024-09-11,22,6
2024-09-11,37,0
2024-09-11,61,0
2024-09-11,71,0
2024-09-11,72,0
2024-09-11,73,0
2024-09-11,74,0
2024-09-11,82,0
2024-09-11,111,0
2024-09-11,113,0
2024-09-11,114,7
2024-09-11,115,0
2024-09-11,116,0
2024-09-11,117,0
2024-09-11,118,0
2024-09-11,119,0
2024-09-11,121,2
2024-09-11,123,0
2024-09-11,141,0
2024-09-11,151,0
2024-09-11,161,0
2024-09-11,171,0
2024-09-11,213,0
2024-09-11,221,0
2024-09-11,222,1
2024-09-11,231,0
2024-09-11,250,0
2024-09-11,251,0
2024-09-11,311,0
2024-09-11,314,0
2024-09-11,322,0
2024-09-11,323,0
2024-09-11,324,0
2024-09-11,391,0
2024-09-11,411,0
2024-09-11,414,0
2024-09-11,415,0
2024-09-11,416,0
2024-09-11,417,0
2024-09-11,418,0
2024-09-11,419,0
2024-09-11,431,0
2024-09-11,455,0
2024-09-11,521,0
2024-09-11,522,0
2024-09-11,523,0
2024-09-11,524,0
2024-09-11,525,0
2024-09-11,526,0
2024-09-11,531,1
2024-09-11,532,2
2024-09-11,533,3
2024-09-11,534,2
2024-09-11,535,0
2024-09-11,572,0
2024-09-11,574,0
2024-09-11,577,0
2024-09-11,578,0
2024-09-11,613,0
2024-09-11,627,0
2024-09-11,642,0
2024-09-11,643,0
2024-09-11,651,0
2024-09-11,652,0
2024-09-11,655,0
2024-09-11,711,0
2024-09-11,712,0
2024-09-11,721,0
2024-09-11,722,0
2024-09-11,727,0
2024-09-11,728,0
2024-09-11,731,0
2024-09-11,732,0
2024-09-11,733,0
2024-09-11,736,0
2024-09-11,741,0
2024-09-11,743,0
2024-09-11,744,0
2024-09-11,811,0
2024-09-11,825,0
2024-09-11,833,0
2024-09-11,845,0
2024-09-11,846,0
2024-09-11,872,0
2024-09-11,874,0
2024-09-11,915,0
2024-09-11,916,0
2024-09-11,926,0
2024-09-11,927,0
2024-09-11,943,0
2024-09-11,945,0
2024-09-11,949,0
2024-09-11,965,0
2024-09-11,981,0
2024-09-11,990,0
2024-09-11,15,0
2024-09-11,19,0
2024-09-11,165,0
2024-09-11,556,0
2024-09-11,631,0
2024-09-11,656,0
2024-09-11,753,0
2024-09-11,768,0
2024-09-11,776,0
2024-09-11,823,0
2024-09-11,841,0
2024-09-11,873,0
2024-09-11,966,0
2024-09-11,18,0
2024-09-11,245,0
2024-09-11,451,0
2024-09-11,632,0
2024-09-11,658,0
2024-09-11,618,0
